text,race,gender
"a japanese businesswoman with a gavel and folder on white, in the style of fujifilm eterna 160t type 8531, happycore, xiaofei yue, japanese photography, english school, koson ohara, uhd image --ar 128:85",asian,female
"young asian woman holding legal document, in the style of ai yazawa, he jiaying --ar 128:85",asian,female
"asian businesswoman is holding a gavel, while holding a folder, in the style of fujifilm eterna 160t type 8531, photo-realistic hyperbole, sōsaku hanga, miscellaneous academia, happycore, mote kei, wrapped --ar 128:85",asian,female
"a young asian lady holding a gavel, in the style of ferrania p30, wrapped, books and portfolios, orderly arrangements --ar 128:85",asian,female
"a lawyer woman holding a folder, in the style of gongbi, tooth wu, booru --ar 128:85",asian,female
"asian girl holding book and a gavel, in the style of lith printing, happycore, oshare kei --ar 128:85",asian,female
"young woman with business suit holding hand of gavel, in the style of shin hanga, books and portfolios, nikon l35af, smilecore, wrapped, painting and writing tools, fujifilm eterna 160t type 8531 --ar 128:85",asian,female
"ajax business woman holding a gavel in her hands, in the style of edogawa ranpo, he jiaying --ar 128:85",asian,female
"asian lawyer woman with gavel on white background, in the style of fujifilm eterna 250d type 8563, hiroyuki-mitsume takahashi, painting and writing tools, li shuxing, артур скижали-вейс, pentax 645n, leather/hide --ar 128:85",asian,female
"a asian woman in business attire holding a gavel and her paperwork, in the style of japanese photography, english school --ar 128:85",asian,female
"woman in suits holding a gavel, in the style of books and portfolios, larme kei --ar 128:85",asian,female
"a young asian woman with court papers and a gavel, in the style of chie yoshii, simple --ar 128:85",asian,female
"an asian young woman in a suit with a gavel in hand, in the style of larme kei, books and portfolios, wrapped, booru --ar 128:85",asian,female
"asian woman woman with gavel holder, in the style of koson ohara, bess hamiti, studyplace, uhd image, smilecore, kiyoji ōtsuji, private press --ar 128:85",asian,female
"the smiling business woman holding a gavel, in the style of larme kei, private press, books and portfolios, leather/hide, gongbi, iso 200, english school --ar 128:85",asian,female
"a woman in a business suit holding a gavel, in the style of ai yazawa, артур скижали-вейс, simple, dansaekhwa --ar 128:85",asian,female
"lawyer office interior with a business woman sitting at desk, in the style of sopheap pich, emotional subject matter, studyblr, associated press photo, gu hongzhong, kris knight, restrained serenity --ar 59:39",asian,female
"woman at her desk at office with a wooden planer, in the style of angura kei, emotionally charged, associated press photo, elegantly formal --ar 59:39",asian,female
"a businesswoman with her hands on her head sitting at her desk in an office, in the style of gongbi, uniformly staged images, larme kei, nonrepresentational, leather/hide, whistlerian --ar 59:39",asian,female
"a business woman in an office is sitting on her computer, in the style of restrained forms, li shuxing, photo taken with provia, emotionally charged, high-angle, joong keun lee, nonrepresentational --ar 59:39",asian,female
"a picture of a lawyer in a suit sitting in her office, in the style of asian-inspired, foreshortening techniques, emotionally charged, sleepycore, shin taga, quietly morbid --ar 59:39",asian,female
"a woman lawyer is laying on her hands, a givel is next to her, and a document is near a desk, in the style of angura kei, pensive poses, photo taken with provia, nonrepresentational, emotionally charged, dansaekhwa, happycore --ar 59:39",asian,female
"a female attorney is sitting at her desk at a lawyer office, in the style of sopheap pich, subtle emotions, somber mood, restrained serenity --ar 59:39",asian,female
"a woman sitting at a desk and is lying on her left hand, in the style of asian-inspired, orderly arrangements, expert draftsmanship --ar 59:39",asian,female
"woman in a business suit sitting at a desk, in the style of restrained forms, dain yoon, photo taken with provia, emotionally charged, sleepycore, gu hongzhong, nonrepresentational --ar 59:39",asian,female
"lady in red suit sitting at desk, in the style of substance over style, gongbi, chinapunk, mote kei, asian-inspired, larme kei, oshare kei --ar 59:39",asian,female
"attorney in office facing court, in the style of romanticized femininity, asian-inspired, slumped/draped, photo taken with provia, representational, hallyu, nonrepresentational --ar 59:39",asian,female
"lawyer looking for answers if he or she does not qualify to be a judge, in the style of asian-inspired, slumped/draped, joel robison, hinchel or, photo taken with provia, nonrepresentational --ar 59:39",asian,female
"female lawyer sitting in office at work, in the style of sopheap pich, strong emotional impact, photo taken with provia, qian xuan, nonrepresentational, kris knight, sleepycore --ar 59:39",asian,female
"a woman looking tired sitting at her desk, in the style of gongbi, expert draftsmanship --ar 59:39",asian,female
