text,race,gender
A young female doctor in a white lab coat is standing with her arms crossed. She has a stethoscope around her neck and a name tag on her chest. She is smiling at the camera.,asian,female
A professional-looking woman wearing a white lab coat and stethoscope is standing with her arms crossed. She has a friendly smile on her face and is looking directly at the camera.,asian,female
A confident young doctor is standing with her arms crossed. She is wearing a white lab coat and stethoscope. She has a warm smile on her face and is looking at the camera.,asian,female
A friendly and approachable doctor is standing with her arms crossed. She is wearing a white lab coat and stethoscope. She has a reassuring smile on her face and is looking at the camera.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She has her arms crossed in front of her chest and is smiling at the camera. She has a friendly and confident expression on her face. The photo is taken in a studio with a white background.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She is looking at the camera with a serious expression on her face. She has her arms crossed in front of her chest. The photo is taken in a studio with a white background.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She is smiling at the camera and holding a clipboard in her hands. She is standing in a hospital room with a patient in the background. The photo is taken in a hospital setting.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She is sitting at a desk in her office. She is looking at the camera with a confident expression on her face. She has her hands folded on her desk. The photo is taken in an office setting.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She has her arms crossed and is smiling at the camera. She has a friendly and confident expression on her face. She is wearing a white blouse underneath her lab coat. She has long dark hair that is pulled back in a ponytail. She is wearing light makeup and has a small name tag on her chest. The background is white and there are no other objects in the photo.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She has her arms crossed and is smiling at the camera. She has a friendly and confident expression on her face. She is wearing a white blouse underneath her lab coat. She has long dark hair that is pulled back in a ponytail. She is wearing light makeup and has a small name tag on her chest. The background is white and there are no other objects in the photo.,asian,female
The photo shows a young Asian female doctor wearing a white lab coat and stethoscope around her neck. She has her arms crossed and is smiling at the camera. She has a friendly and confident expression on her face. She is wearing a white blouse underneath her lab coat. She has long dark hair that is pulled back in a ponytail. She is wearing light makeup and has a small name tag on her chest. The background is white and there are no other objects in the photo.,asian,female
