text,race,gender
"asian female firefighter posing in front of fire truck, in the style of kintsugi, kouta hirano, he jiaying --ar 76:51",asian,female
"asian female firefighter on the job standing beside her truck, in the style of kintsukuroi, red and indigo, close up, samyang af 14mm f/2.8 rf, diverse color palette, distinct facial features, oshare kei --ar 76:51",asian,female
"an asian firefighter in front of a red truck, in the style of feminine empowerment, kintsukuroi, light yellow and dark azure, close up, whistlerian, city portraits, cinestill 50d --ar 76:51",asian,female
"female firefighter standing in front of a fire truck, in the style of traditional chinese, oshare kei, kintsugi, dansaekhwa --ar 76:51",asian,female
"asian firefighter in front of a truck, in the style of feminine empowerment, kintsukuroi, primary colors, light red and dark navy, cinestill 50d, distinct facial features, oshare kei --ar 76:51",asian,female
"asian firefighter standing in front of a fire truck, in the style of feminine empowerment, kintsukuroi, yuan dynasty, fujifilm gw690iii, close-up intensity, dark azure and crimson, transfer --ar 76:51",asian,female
"female firefighter with helmet standing outside fire truck, in the style of traditional chinese, oshare kei, city portraits, dansaekhwa, briton rivière, sony fe 85mm f/1.4 gm, light red and dark azure --ar 76:51",asian,female
"young woman wearing her helmet and standing by truck, in the style of traditional chinese, light red and dark navy, bold chromaticity, laowa 100mm f/2.8 2x ultra macro apo, transfer, childe hassam, 8k --ar 76:51",asian,female
"asian firefighter standing in front of their truck, in the style of feminine empowerment, kintsukuroi, 8k, city portraits, red and indigo, oshare kei, colorist --ar 76:51",asian,female
"a smiling asian woman leaning against an outside fire truck, in the style of kintsukuroi, minimalist grids, untrained --ar 76:51",asian,female
"asian woman in a firefighter uniform, in the style of ricoh ff-9d, dark azure and crimson, red and navy, grid-based, close up, vibrant color scheme, untrained --ar 76:51",asian,female
"asian firefighter smiling next to a red truck with the fire hose, in the style of androgynous, kintsugi, close up, city portraits, 8k, kintsukuroi --ar 76:51",asian,female
"asian woman stands in front of fire truck firefighter stock pictures, royaltyfree pictures & photos, in the style of kintsugi, detailed costumes, panasonic lumix s pro 50mm f/1.4, dark indigo and red, dark purple and yellow, colourful, grainy --ar 76:51",asian,female
"asian firefighter standing in front of a fire truck, in the style of feminine empowerment, kintsukuroi, tokio aoyama, 8k, valentin de boulogne, rural china, xiaofei yue --ar 76:51",asian,female
"asian firefighter model standing next to a red truck, in the style of feminine empowerment, close up, tokio aoyama, hasselblad hc 100mm f/2.2, dark yellow and dark azure, 8k, transfer --ar 76:51",asian,female
"asian firefighter holding helmet, in the style of feminine empowerment, kintsukuroi, primary colors, cinestill 50d, city portraits, transfer, northern and southern dynasties --ar 76:51",asian,female
"a japanese woman in front of a fire truck, in the style of object portraiture specialist, light red and light gray, he jiaying, light red and light azure, light orange and red --ar 4:3",asian,female
"jpn firefighters woman uniformed in safety gear, in the style of xiaofei yue, red and purple, uniformly staged images, hannah yata, joyful and optimistic, sōsaku hanga, distinct facial features --ar 4:3",asian,female
"a woman in fire service is standing in front of a red truck, in the style of kintsukuroi, object portraiture specialist, gutai group, uniformly staged images, smilecore, detailed facial features, sōsaku hanga --ar 4:3",asian,female
"a woman in full firefighting gear standing next to a truck red on the side, in the style of japanese photography, joyful and optimistic, smilecore, northern and southern dynasties, object portraiture specialist, gongbi, personal interpretation --ar 4:3",asian,female
"japan firefighting nao matsuda fbrlr, in the style of object portraiture specialist, chinapunk --ar 4:3",asian,female
"a fire / rescue lady in protective gear leaning against the front of a red fire truck, in the style of japanese minimalism, gutai group, smilecore --ar 4:3",asian,female
"a girl in a firefighter uniform standing in front of a red fire truck, in the style of hashimoto gahō, expert draftsmanship, object portraiture specialist, he jiaying, uniformly staged images, smilecore, red and purple --ar 4:3",asian,female
"a firefighter is standing next to a firetruck, in the style of xiaofei yue, kōshirō onchi, joyful and optimistic, object portraiture specialist, uniformly staged images, ricoh ff-9d, red and purple --ar 4:3",asian,female
"a woman in front of a fire truck in japan, in the style of object portraiture specialist, light orange and red, he jiaying, sky-blue and red, uniformly staged images --ar 4:3",asian,female
"sasebo fire truck officer sato aiko, in the style of expert draftsmanship, violet and red, red and azure, light yellow and red --ar 4:3",asian,female
"a female firefighter standing next to her fire truck, in the style of taiyō matsumoto, detailed facial features, smilecore, gutai group, oshare kei, light red and violet, he jiaying --ar 4:3",asian,female
"young woman standing in front of blue fire engine, in the style of kintsukuroi, object portraiture specialist, smilecore, dark red and light orange, gongbi, ue5, zone system --ar 4:3",asian,female
"a firewoman in the uniform standing in front of a fire truck, in the style of tachisme, object portraiture specialist, meticulous technique --ar 4:3",asian,female
"a woman in firefighter costume stood near a fire truck, in the style of japanese minimalism, object portraiture specialist, expert draftsmanship --ar 4:3",asian,female
"a woman poses next to a yellow fire truck, in the style of xiaofei yue, light red and dark azure, katsushika ōi --ar 4:3",asian,female
"a juan de carroll firefighter, in the style of miwa komatsu, chinapunk, kanō school --ar 4:3",asian,female
"a woman inside a fire truck, in the style of northern china's terrain, creative commons attribution, associated press photo, pont-aven school, orderly symmetry, photo, non-representational --ar 128:99",asian,female
"a female firefighter sitting in the driver's seat of a fire truck, in the style of zhichao cai, group f/64, flickr, careful framing, associated press photo, everyday life, free-associative --ar 128:99",asian,female
"a fireman in the front seat of a fire truck, in the style of xiaofei yue, creative commons attribution, representational, environmental portraiture, careful framing, anglocore, associated press photo --ar 128:99",asian,female
"a red fire truck has a woman in the driver seat, in the style of traditional chinese, creative commons attribution, representational, candid portraiture, framing, foreshortening techniques, windows vista --ar 128:99",asian,female
"a woman in a fire truck is wearing red uniform and helmet, in the style of rural china, lightbox, creative commons attribution, representational, candid portraiture, group f/64, light green and dark blue --ar 128:99",asian,female
"a firefighter sits inside a fire truck looking at her camera, in the style of fenghua zhong, group f/64, creative commons attribution, jan pietersz saenredam, subtle chromatism, tanbi kei --ar 128:99",asian,female
"a female firefighter is in the cab of a fire truck while trying to get her hairstyle ready, in the style of rural china, creative commons attribution, ricoh ff-9d, portraits with soft lighting, handscroll, non-representational, associated press photo --ar 128:99",asian,female
"a fireman has his helmet on, in the style of xiaofei yue, windows xp, ricoh ff-9d, exacting precision, red, intense gaze, flickr --ar 128:99",asian,female
"a woman sits in the driver's seat of a fire truck, in the style of ruan jia, ricoh ff-9d, high resolution --ar 128:99",asian,female
"a person sitting inside a fire truck, in the style of gongbi, ricoh ff-9d, untrained --ar 128:99",asian,female
"a woman riding in a fire truck while wearing a helmet, in the style of zhichao cai, pentax 645n, ricoh ff-9d, high resolution --ar 128:99",asian,female
"woman on the front of a fire truck, in the style of traditional chinese, flickr, associated press photo, windows vista, expert draftsmanship --ar 128:99",asian,female
"a female firefighter is looking out through the windshield of a red fire truck, in the style of qiu shengxian, group f/64, ricoh r1, non-representational, portraitures, hinchel or --ar 128:99",asian,female
"a woman driving a fire truck with her helmet on, in the style of zhichao cai, ricoh ff-9d, high resolution --ar 128:99",asian,female
"a firefighter in front of a fire truck, in the style of rural china, extremely gendered, ricoh ff-9d, portraitures, windows vista, associated press photo, non-representational --ar 128:99",asian,female
"a fire engine that contains an inside, in the style of gender bending, associated press photo, traditional chinese, captivating gaze, windows vista --ar 128:99",asian,female
"asian female firefighter stands holding her helmet, in the style of carrie mae weems, cinematic stills, peter wileman, luke fildes, photo taken with provia, booru, passage --ar 51:76",asian,female
"female firefighter wearing helmet and helmetes, in the style of asian-inspired, provia film, hasselblad h6d-400c, sci-fi, uhd image, school of london, subtle chromatism --ar 51:76",asian,female
"firefighter in her gear and safety glasses, in the style of wong kar-wai, temmie chang, candid shots of famous figures, g. willow wilson, toonami, hasselblad 500c/m, flatness of space --ar 51:76",asian,female
"woman fire inspector posing for a photo in a fire hazard depot, in the style of hasselblad 1600f, confucian ideology, shot on 70mm, alien worlds, photo taken with provia, ue5, school of london --ar 51:76",asian,female
"a female firefighter wearing a helmet, in the style of temmie chang, large format film, peter wileman, multiculturalism, miwa komatsu, photo taken with provia, depicts real life --ar 51:76",asian,female
"fireman standing in industrial warehouse firefighter stock pictures & royalty images, in the style of naomi okubo, peter lindbergh, emily carr, movie still, asian-inspired --ar 51:76",asian,female
"firefighters worker in firefighter uniform, in the style of onii kei, movie still, feminist, hasselblad h6d-400c, multicultural, space age, ming dynasty --ar 51:76",asian,female
"a chinese fire brigade worker is standing in his office, in the style of contemporary feminist, space age, hasselblad 1600f, poignant, multicultural, i can't believe how beautiful this is, toonami --ar 51:76",asian,female
"asian fire fighter wearing safety gear standing in an elevator, in the style of contemporary feminist, hasselblad 500c/m, ambitious, poignant, delicate --ar 51:76",asian,female
"asian fire fighter posing for a photo, in the style of carrie mae weems, raw character, science-fiction dystopias, tracie grimwood, fujifilm eterna 250t type 8560, working-class empathy, rebecca sugar --ar 51:76",asian,female
"an asia female fire fighter on a motorcycle in a hat and helmet, in the style of contemporary feminist, provia film, hasselblad h6d-400c, casts of spaces, rtx on, sci-fi, school of london --ar 51:76",asian,female
"firefighter woman in helmet, in the style of temmie chang, provia film, peter wileman, multicultural fusion, alasdair mclellan, traditional chinese, onii kei --ar 51:76",asian,female
"asian firefighter wearing a helmet with red headband and a red hat, in the style of contemporary feminist, hasselblad 1600f, #vfxfriday, national geographic photo, school of london, sci-fi, charming characters --ar 51:76",asian,female
"firefighter woman posing with her helmet, in the style of temmie chang, film stills, peter wileman, national geographic photo, danh võ, distinct facial features, multicultural --ar 51:76",asian,female
