text,race,gender
"The image features a woman wearing a basketball uniform, standing on a basketball court. She is holding a basketball in her hands, possibly preparing to throw it or just finished playing. The woman appears to be the main focus of the scene. There are several other people in the background, some of whom are also wearing basketball uniforms, suggesting that they might be her teammates or opponents. The crowd seems to be engaged in the game, creating an atmosphere of excitement and competition.",asian,female
"The image features a female basketball player wearing a green and white uniform, standing on a basketball court. She is holding a basketball in her right hand, and her left hand is outstretched. The player appears to be in the middle of a game, possibly preparing to pass the ball to a teammate. There are several other people in the scene, some of them possibly teammates or opponents, while others could be spectators or coaches. The crowd is dispersed around the court, with some individuals closer to the foreground and others further in the background.",asian,female
"The image features a woman wearing a basketball uniform, standing on a basketball court. She is holding a basketball in her hands, possibly preparing to throw it or just finished playing. The woman is the main focus of the scene, and she appears to be the center of attention. There are several other people in the background, some of whom are also wearing basketball uniforms, indicating that they might be teammates or opponents. The presence of multiple people on the court suggests that this could be a practice session or a game.",asian,female
"The image features a female basketball player wearing a white jersey with the number 21 on it. She is holding a basketball in her hands, possibly preparing to throw it or just finished playing. The woman is standing in the center of the scene, surrounded by a crowd of people. There are at least 13 other people in the image, some of them standing close to the basketball player, while others are further away. The crowd appears to be engaged in the game or watching the woman play. The scene captures the excitement and energy of a basketball game or practice.",asian,female
"The image features a female basketball player wearing a white jersey with the number 21 on it. She is holding a basketball in her hands and appears to be in the middle of a game. The basketball player is surrounded by a crowd of people, including teammates and opponents, who are watching her play. There are several people in the background, some of them standing closer to the foreground, while others are further away. The crowd seems to be engaged in the game, and the atmosphere appears to be lively and competitive.",asian,female
"The image features a woman wearing a basketball uniform, standing on a basketball court. She is holding a basketball in her hands, possibly preparing to throw it or just finished playing. The woman appears to be the main focus of the scene. There are several other people in the background, some of them standing close to the woman and others further away. They seem to be spectators or fellow players, watching the woman or engaging in their own activities on the court.",asian,female
"The image features a female basketball player wearing a white jersey with the number 21 on it. She is holding a basketball in her hands, possibly preparing to throw it or just finished playing. The basketball player is surrounded by a crowd of people, some of whom are standing close to her, while others are further away. The scene appears to be a lively basketball game or event, with the woman being the center of attention.",asian,female
"The image features a woman wearing a basketball uniform, standing on a basketball court. She is holding a basketball in her right hand and appears to be dribbling it. The woman is the main focus of the scene, and she is surrounded by several other people, some of whom are also on the court. In the background, there are more people scattered around the court, possibly watching the game or waiting for their turn to play. The scene captures the excitement and energy of a basketball game, with the woman in the center of the action.",asian,female
"The image features a female basketball player wearing a white jersey with the number 21 on it. She is holding a basketball in her right hand and appears to be in the middle of a game. The player is surrounded by a crowd of people, including teammates and opponents, who are watching her play. There are several other people in the scene, some of them standing closer to the foreground and others further in the background. The crowd seems to be engaged in the game, with some individuals possibly cheering or observing the player's performance.",asian,female
"The image features a female basketball player wearing a white jersey with the number 21 on it. She is holding a basketball in her right hand and appears to be in the middle of a game. The player is surrounded by a crowd of people, some of whom are standing close to her, while others are further away. There are at least 13 people in the scene, including the basketball player. Some of them are positioned near the foreground, while others are scattered throughout the background. The crowd seems to be engaged in the game, watching the female basketball player as she plays.",asian,female
