text,race,gender
"the chef of kimchi sushi house for the opening of our asian fusion restaurant on 4th april for a dinner at the algonqui, in the style of feminine body, dark beige and white, meticulous detailing, low resolution, portrait, organic stone carvings, neo-geo --ar 30:41",asian,female
"an asian chef posing in a kitchen, in the style of tsubasa nakai, dark white and light beige, salon kei, award-winning, fine line details, naomi tydeman, makuzu kōzan --ar 30:41",asian,female
"a yokozuna chef standing at a counter, in the style of naomi okubo, elegant simplicity --ar 30:41",asian,female
"japanese woman working in a restaurant kitchen on a table, in the style of portraits with soft lighting, embroidery, angura kei, white and beige, full body, sleek, whistlerian --ar 30:41",asian,female
"chiyo tsujimoto, hana nobashi, kitchen, in the style of refined technique, neogeo, elegantly formal --ar 30:41",asian,female
"the chef of the takahisaka hot pot, in the style of miwa komatsu, light beige and white, kawanabe kyōsai, nobuo sekine, women designers, dynamic and energetic, tanbi kei --ar 30:41",asian,female
"a young asian chef in a brown apron, in the style of tsubasa nakai, exquisite detailing, elegantly formal, kawanabe kyōsai --ar 30:41",asian,female
"lady chef in traditional asian uniform working for watarabi co, in the style of japanese-inspired, onii kei --ar 30:41",asian,female
"kaori shinoda, chief chef, sushiyama yasumoto, in the style of light beige, elaborate detailing, gabriele münter, luminous quality, tomàs barceló, katsushika ōi, hurufiyya --ar 30:41",asian,female
"the asian chef posing in front of a kitchen, in the style of onii kei, white and beige, feminine body, subtle lighting, award-winning, embroidery, shin hanga --ar 30:41",asian,female
"a female asian cook smiling at a counter and leaning against the counter, in the style of terada katsuya, exquisite craftsmanship, tokujin yoshioka, ivory, softly organic, kōji morimoto, strong lines --ar 30:41",asian,female
"a young japanese chef in his kitchen, in the style of feminine body, shin hanga, handcrafted beauty, angura kei, dark white, dynamic, luminous quality --ar 30:41",asian,female
"the chef posing at her counter, in the style of kawanabe kyōsai, light beige and white, russell dongjun lu, luminous quality, uemura shoen, subtle ink application, gongbi --ar 30:41",asian,female
"a woman standing at a kitchen counter, in the style of onii kei, precise and sharp, meticulous, soft lighting, carving, award-winning, salon kei --ar 30:41",asian,female
"a young asian cook with a hat and uniform standing near a wooden counter, in the style of tsubasa nakai, organic stone carvings, tomàs barceló, naomi okubo, subtle elegance, award-winning, understated elegance --ar 30:41",asian,female
"a woman standing behind a counter posing for a photo, in the style of onii kei, refined technique, subtle lighting, carving, clean, mingei, oshare kei --ar 30:41",asian,female
"asian female chef with a cup, plate and cake, in the style of xiaofei yue, soft-edged --ar 128:85",asian,female
"image of restaurant chef, woman holding a cake cup on white stock photo, in the style of meiji art, gongbi --ar 128:85",asian,female
"female chef holding cup and sauce with white plate, in the style of the stars art group (xing xing), uniformly staged images, chinapunk, candid moments, pastel, associated press photo, full body --ar 128:85",asian,female
"chef lady making a cake on white background, in the style of qiu shengxian, elegant subjects, domestic scenes, joyful whimsicality --ar 128:85",asian,female
"asian female cook with a cake ready to serve, in the style of the stars art group (xing xing), uniformly staged images, sonian, ivory, womancore, high definition, porcelain --ar 128:85",asian,female
