text,race,gender
"A young Asian woman in protective gear stands in front of a red fire truck. She is looking off to the side with a thoughtful expression. The woman is wearing a navy blue and yellow fire-resistant suit, a yellow helmet, and boots. She is also carrying a firefighter's axe. The fire truck is parked in a fire station.",asian,female
"A female firefighter is standing in front of a fire truck. She is wearing a protective fire suit and a helmet. She is looking at the camera with a determined expression. The fire truck is red and white and has the word ""Fire Department"" on the side. The firefighter is standing in front of the fire truck with her arms crossed. She is ready to respond to any emergency.",asian,female
"A young woman firefighter is standing in front of a fire truck. She is wearing her protective gear and holding a hose. She is looking at the fire truck with a determined expression. The fire truck is red and white and has the word ""Fire Department"" on the side. The firefighter is standing in front of the fire truck with her arms crossed. She is ready to fight any fire.",asian,female
"A confident female firefighter is standing in front of a fire truck. She is wearing her protective gear and holding a helmet. She is looking at the camera with a determined expression. The fire truck is red and white and has the word ""Fire Department"" on the side. The firefighter is standing in front of the fire truck with her arms crossed. She is ready to serve her community.",asian,female
A young Asian woman in her early 20s is standing in front of a red fire truck. She is wearing a navy blue and yellow firefighter's uniform and a yellow helmet. She has her hands on her hips and is looking off to the side with a confident expression.,asian,female
A female firefighter is standing in front of a fire truck. She is wearing a protective fire suit and a helmet. She has her arms crossed and is looking at the camera with a serious expression.,asian,female
A young woman is standing in front of a fire truck. She is wearing a firefighter's uniform and a helmet. She is smiling and holding a hose.,asian,female
A firefighter is standing in front of a fire truck. She is wearing a protective fire suit and a helmet. She is holding a fire hose and is looking at the fire.,asian,female
A young Asian woman in her early 20s is standing in front of a red fire truck. She is wearing a navy blue and yellow fire-resistant suit and a yellow helmet. She has her hands on her hips and is looking off to the side with a thoughtful expression on her face. She is a firefighter.,asian,female
A young Asian woman is standing in front of a red fire truck. She is wearing a navy blue and yellow fire-resistant suit and a yellow helmet. She is holding her helmet in her hands and looking at it with a determined expression on her face. She is a firefighter.,asian,female
A young Asian woman is standing in front of a red fire truck. She is wearing a navy blue and yellow fire-resistant suit and a yellow helmet. She is looking at the camera with a serious expression on her face. She is a firefighter.,asian,female
A young Asian woman is standing in front of a red fire truck. She is wearing a navy blue and yellow fire-resistant suit and a yellow helmet. She is smiling and waving at the camera. She is a firefighter.,asian,female
