text,race,gender
"taiwanese nba player 1, in the style of light white and green, feminist perspective, dignified poses, curved mirrors, japanese, divisionist, yankeecore --ar 100:109",asian,female
"a Japanese female basketball player is holding a ball i guess, in the style of dark green and light beige, naomi okubo, notable sense of movement, guo pei, vadim meller, exaggerated features, clean and streamlined --ar 100:109",asian,female
"iran forward ionut korean holds a basketball ball in her hands, in the style of dark emerald and light beige, japanese contemporary, vivienne tam, bold yet graceful, jessie arms botke, harriet backer, western zhou dynasty --ar 100:109",asian,female
"a female basketball player holding a ball, in the style of japanese influence, dark emerald and light beige, loose gestures, oshare kei, notable sense of movement, curved mirrors, sunrays shine upon it --ar 100:109",asian,female
"a female nba player in uniform with her hands on the basketball, in the style of naomi okubo, dark green and light beige, guo pei, shuzo oshimi, light white and light green, lively facial expressions, notable sense of movement --ar 100:109",asian,female
"nba player in white on her hands while holding her basketball, in the style of heian period, dark green and light beige, eiichiro oda, xiaofei yue, precisionist lines, exaggerated features, dark emerald and light azure --ar 100:109",asian,female
"kaela langley vs denver 76 hornets nba photo fas psa by steve, in the style of eastern zhou dynasty, dark green and light beige, energetic gestures, genderless, associated press photo, yankeecore, strong facial expression --ar 100:109",asian,female
"the kazakhstan nba with the beijing bombers, in the style of japanese influence, light beige and green, feminist sensibility, layered gestures, pretty, ivory, strong facial expression --ar 100:109",asian,female
"nba player is pointing toward the basketball stick, in the style of naomi okubo, light white and dark green, strong facial expression, range murata, guo pei, clean and streamlined, progressive academia --ar 100:109",asian,female
"uidah azubuka of the japanese wba tries to get a ball at the next game, in the style of light emerald and beige, flowing silhouettes, guo pei, 32k uhd, hiroshige, exaggerated poses, kōji morimoto --ar 100:109",asian,female
"the girl is holding a basketball as she gets ready to shoot it, in the style of larme kei, dark emerald and light bronze, mori kei, sleek, distinctive noses, gongbi, streaked --ar 100:109",asian,female
"a woman in white uniform holds a ball in her hands, in the style of light emerald and navy, onii kei, dark green and beige, oshare kei, sleek, chinapunk, elite --ar 100:109",asian,female
"a female basketball player with his hand up is moving an end ball, in the style of naomi okubo, dark green and light beige, guo pei, i can't believe how beautiful this is, lively facial expressions, eiichiro oda, 21st century --ar 100:109",asian,female
"the san antonio spurs have signed nba super league player haley rosello, in the style of japenese renaissance, dark green and light beige, flowing silhouettes, mote kei, mingei, light green and dark blue, unearthly --ar 100:109",asian,female
"a basketball player on the court and is holding a ball, in the style of tanbi kei, dark green and light beige, light white and dark green, light pink and dark green, japanese influence, feminist sensibility, notable sense of movement --ar 100:109",asian,female
"kanoko yoshida, takayo koufu & megumi yoshida, with, in the style of unapologetic grit, green academia, harriet backer, precision, sunrays shine upon it, ephraim moses lilien, historical accuracy --ar 100:109",asian,female
"a woman in yellow wearing a yellow ball, in the style of oshare kei, rim light --ar 93:128",asian,female
"a basketball player wearing white, in the style of inio asano, dark yellow and light green, oshare kei, aurorapunk, dark yellow --ar 93:128",asian,female
"a basketball player on court, in the style of dolly kei, dark yellow and light green, uniformly staged images, oshare kei, shin hanga, meticulous design, sfumato --ar 93:128",asian,female
"a young female basketball player dribbling in the court, in the style of tetsuya ishida, dark yellow and light green, kōji morimoto, flickr, spontaneous gesture, keos masons, handsome --ar 93:128",asian,female
"a Japanese basketball player pointing to her right, in the style of light green and yellow, inio asano, meticulous design, toyo ito, monsù desiderio, creative commons attribution, handsome --ar 93:128",asian,female
"a male basketball player in yellow wearing a striped uniform, in the style of inio asano, gender bending, oshare kei, frayed, ina wong, rim light, veronika pinke --ar 93:128",asian,female
"a woman dressed in a yellow uniform, in the style of onii kei, jamcore, dinopunk, tagging-like marks, rim light, flickr, elite --ar 93:128",asian,female
"a basketball player holds a basketball out while playing, in the style of larme kei, dark yellow and light green, stylish costume design, i can't believe how beautiful this is, mori kei, flickr, tondo --ar 93:128",asian,female
"this is an asian woman wearing a yellow uniform, in the style of tetsuya nomura, nike savvas, jacek szynkarczuk, dinopunk, flickr, tagging-like marks, kintsukuroi --ar 93:128",asian,female
"a woman in a yellow apron on a court, in the style of booru, iconic --ar 93:128",asian,female
"a woman is playing basketball, in the style of inio asano, yellow and green, uniformly staged images, toyo ito, oshare kei, meticulous design, monsù desiderio --ar 93:128",asian,female
"a female in a yellow uniform is pointing her hands up in the air, in the style of onii kei, avocadopunk, flickr, delicate markings, slumped/draped, dinopunk, handsome --ar 93:128",asian,female
"the basketball player wears a yellow uniform with black stripes, in the style of oshare kei, luminous shadowing, androgynous, flickr, mori kei, onii kei, barroco --ar 93:128",asian,female
"a female basketball player with her hand in the air, in the style of shin hanga, dark yellow and light green, oshare kei, frayed, tondo, clean and streamlined, tagging-like marks --ar 93:128",asian,female
"a lady player throws a basketball, in the style of inio asano, dark yellow and light green, miwa komatsu, full body, flickr, oshare kei, uniformly staged images --ar 93:128",asian,female
"a player on a basketball court with a basketball, in the style of inio asano, dark yellow and light green, sana takeda, meticulous, oshare kei, hallyu, mingei --ar 93:128",asian,female
"a woman wearing a green and white basketball uniform holding a basketball ball, in the style of asian-inspired, full body, #myportfolio, photo taken with provia, northwest school, precisionist, yankeecore --ar 68:103",asian,female
"woman in white basketball uniform posing for a photo, in the style of dark green and white, duy huynh, smilecore, marbleized, zeen chin, photo taken with provia, toyen --ar 68:103",asian,female
"a girl in a basketball uniform holding up a basketball, in the style of yeong-hao han, green --ar 68:103",asian,female
"a girl is posing for pictures while holding a basketball ball, in the style of white and green, asian-inspired, full body, uniformly staged images, zuckerpunk, whitcomb-girls, sharp --ar 68:103",asian,female
"a girl in a green and white uniform with a ball, in the style of asian-inspired, whitcomb-girls, jazzy, fashionable flair, zone system, yankeecore, precision, bentwood --ar 68:103",asian,female
"the girl is wearing a green and white team uniform and is holding a ball, in the style of j yang, jazzy, fashionable flair, allyson grey, associated press photo, full body, #myportfolio, zeen chin --ar 68:103",asian,female
"a female basketball player stands in front of a white background, in the style of light white and dark green, asian-inspired, lyon school, photo taken with provia, bold block prints, dignified poses, happening --ar 68:103",asian,female
"a male woman holding a basketball in front of a backdrop, in the style of hannah yata, full body, white and green, zeen chin, whitcomb-girls, photo taken with provia, ryky --ar 68:103",asian,female
"a girl in a white and green high school uniform is holding a basketball, in the style of full body, onii kei, hispanicore, photo taken with provia --ar 68:103",asian,female
"a female basketball player with a ball holding her hand in a green uniform, in the style of bayard wu, full body, photo taken with provia, allyson grey, chen zhen, photo, clean-lined --ar 68:103",asian,female
"a young women's basketball player posing with a basketball, in the style of light white and dark green, bayard wu, zeen chin, photo taken with provia, clean and streamlined, full body, allyson grey --ar 68:103",asian,female
"an attractive young woman in a basketball uniform, in the style of light white and dark green, asian-inspired, lyon school, full body, #myportfolio, provia, gutai group --ar 68:103",asian,female
"a girl in white high school basketball uniform on a white background holding a basketball, in the style of chie yoshii, dark green and silver, green --ar 68:103",asian,female
"a young female basketball player posing with basketball in her hand, in the style of dark green and white, asian-inspired, lyon school, full body, photo taken with provia, clean and simple designs, zigzags --ar 68:103",asian,female
"a basketball player and ball in her hands, in the style of dark green and white, yeong-hao han, full body, photo taken with provia, whitcomb-girls, allyson grey --ar 68:103",asian,female
"a woman holding a basketball in their hand, in the style of white and green, full body, onii kei, photo taken with provia, hispanicore, dignified poses --ar 68:103",asian,female
"woman in black basketball jersey is holding a ball, in the style of mahiro maeda, nikon d850, bil keane, zhichao cai, precision in details, rtx on, underexposure --ar 103:128",asian,female
"a female dressed in black with a basketball, in the style of nikon d850, j yang, color-streaked, focus stacking, luminous shadowing, armand point, matti suuronen --ar 103:128",asian,female
"a woman holding up a basketball with her hand under her head, in the style of nikon d850, sui dynasty, chromatic aberration, repetition, silver and black, streamline elegance, whistlerian --ar 103:128",asian,female
"a girl is holding an basketball ball in front of a crowd, in the style of nikon d850, 32k uhd --ar 103:128",asian,female
"a chinese woman with a basketball in her hand, in the style of nikon d850, light beige and black, accumulative process, vibrant, sleek --ar 103:128",asian,female
"a woman wearing black holding a basketball ball, in the style of nikon d850, xu bing, luminous shadowing, detailed attention, matti suuronen, eiichiro oda, candid shots --ar 103:128",asian,female
"a female woman in a black jersey holding a basketball, in the style of nikon d850, traditional chinese, focus stacking, luminescent color scheme, candid, sharp attention to detail, distinctive line work --ar 103:128",asian,female
"a female wearing an smears black shirt and a basketball ball, in the style of nikon d850, michael cho, rim light, rtx on, brian sum --ar 103:128",asian,female
"a female basketball player holds a ball in front of an audience, in the style of nikon d850, traditional chinese, light gray and black, neo-op, delicate washes, candid, ivory --ar 103:128",asian,female
"a female basketball player in black holding a ball, in the style of nikon d850, xu bing, sharp attention to detail, matti suuronen, ivory, vibrant, lively, ephraim moses lilien --ar 103:128",asian,female
"a woman holding a basketball with one hand, in the style of nikon d850, repetitive, candid celebrity shots --ar 103:128",asian,female
"an asian woman putting a soccer ball onto the court, in the style of erik jones, rim light --ar 103:128",asian,female
"a woman holds a basketball while wearing a black hat, in the style of asian-inspired, light-focused, patience of a saint, precision in details, accumulative process, neo-op, streaked --ar 103:128",asian,female
"a female basketball player holding a ball, in the style of nikon d850, chinese brushwork, candid celebrity shots, light green and black, precision in details, bold linework, happenings --ar 103:128",asian,female
"female woman holding ball in front of crowd, in the style of shilin huang, panasonic lumix s pro 50mm f/1.4, nike savvas, ephraim moses lilien, delicate markings, rim light, emphasis on facial expression --ar 103:128",asian,female
"a gnb player with a black headband holding a ball, in the style of maya lin, low-angle shots, transfer, emphasis on the process --ar 103:128",asian,female
"china women at basketball World Cup in melbourne stock image, in the style of rtx on, uhd image, 32k uhd --ar 89:128",asian,female
"basketball game between china and russia stock image, in the style of fuyuko matsui, uhd image, 32k uhd --ar 89:128",asian,female
"luda kushiya of chow dynamo basket team in action on saturday june 27, 2018 stock, in the style of traditional chinese, 32k uhd, pretty, magali villeneuve, precise realism, glistening, light gray and red --ar 89:128",asian,female
"china olympic team in the nets basketball match stock image, in the style of light white and light gold, 32k uhd, rtx on, striped, womancore, kintsugi, angura kei --ar 89:128",asian,female
"china women basketball stock image, in the style of light gold and white, 32k uhd, fatima ronquillo, striped, stylish, curvilinear, li wei --ar 89:128",asian,female
"the chinese women's basketball team drives the ball during the game, stock image, in the style of 32k uhd, rtx on, commission for, light gray, light gold and white, angura kei, curvilinear --ar 89:128",asian,female
"china women's basketball player taiyang yu dribbling during a game with india stock image, in the style of light gold and silver, 32k uhd --ar 89:128",asian,female
"china women's basketball player during a match in dalian china.jpg stock image, in the style of sung kim, rtx on --ar 89:128",asian,female
"china women's nba team player chasing the ball to basket during a games, in the style of stylish, rtx on, sculpted --ar 89:128",asian,female
"china female basketball player dribbling in a game in doha saudi arabia on august stock, in the style of xu beihong, sculpted, rtx on --ar 89:128",asian,female
"chinese basketball player drving the ball during game at the ecuador women's, in the style of light gold and silver, rtx on, commission for, uhd image, chinapunk --ar 89:128",asian,female
"2022 women's basketball women's championship asiapacific region chinathailand stock, in the style of chen zhen, 32k uhd --ar 89:128",asian,female
"chinese woman basketball player dribbling a ball during a game stock image, in the style of oshare kei, iconic --ar 89:128",asian,female
"china women's basketball team in the opening game of the olympics in china stock image, in the style of 32k uhd, rtx on, sana takeda, charismatic, stylish --ar 89:128",asian,female
