text,race,gender
The photo shows a young female basketball player in a white and blue jersey with the number 21 on it. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on the front. She is holding a basketball in her right hand and has her left hand open with her fingers spread. She is looking at the camera with a determined expression. The background is blurred.,asian,female
The photo shows a young Asian woman in a white and green basketball uniform. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on the front. She is holding a basketball in her right hand and has her left hand open with her fingers spread out. She is looking at the camera with a serious expression.,asian,female
The photo shows a young female basketball player in a white and blue uniform. She is holding a basketball in her right hand and is looking at the camera with a determined expression.,asian,female
"The photo shows a young female basketball player in a white and blue uniform. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred, but it looks like she is in a gym.",asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on the front. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression on her face. The background is blurred.,asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on the front. She is holding a basketball in her right hand and has her left hand open with her fingers spread wide. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and green uniform. She is holding a basketball in her right hand and has her left hand open. She is looking at the camera with a serious expression. The background is a blurred out image of a basketball court with spectators in the stands.,asian,female
The photo shows a young female basketball player in a white and blue uniform. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on it. She is holding a basketball in her right hand and has her left hand open. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and green uniform. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and green uniform. She is dribbling the ball with both hands and looking up the court. She has long black hair and is wearing a headband. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and green uniform. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and blue jersey. She is holding a basketball in her right hand and has her left hand open. She is looking at the camera with a determined expression. The background is blurred and there are people in the stands watching the game.,asian,female
The photo shows a young female basketball player in a white and blue jersey with the number 21 on the front. She is holding a basketball in her right hand and has her left hand open in front of her. She is looking at the camera with a determined expression. The background is blurred.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her right arm extended. She has short dark hair.,asian,female
The photo shows a female basketball player in a yellow uniform. She is looking to her right with her right arm extended. She is wearing a headband and her hair is short and dark.,asian,female
The photo shows a female basketball player in a yellow uniform. She is dribbling the ball with her right hand. She has short black hair and is wearing a headband. The player is standing on a basketball court.,asian,female
The photo shows a female basketball player in a yellow uniform. She is looking to her right with her right arm extended.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her right arm extended. She has short black hair.,asian,female
The photo shows a female basketball player in a yellow uniform. She is dribbling the ball with her right hand and looking to her left. She is wearing white socks and black shoes. The player is standing on a basketball court with a wooden floor. There are no other players in the photo.,asian,female
The photo shows a female basketball player in a yellow uniform. She is looking to her right with her right arm extended.,asian,female
The photo shows a female basketball player in a yellow uniform. She is dribbling the ball with her right hand while looking to her left. The player is wearing a headband and her hair is in a ponytail. She is also wearing knee pads and white sneakers. The background is a basketball court with a wooden floor.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her right arm extended. She has short black hair and is wearing a headband.,asian,female
The photo shows a female basketball player in a yellow uniform. She is dribbling the ball with her right hand. She has short black hair and is wearing a headband. She is in a gym with a wooden floor.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing with her left arm extended and her right arm at her side. She is looking to her left. She is wearing a headband and her hair is short and dark.,asian,female
The photo shows a female basketball player in a yellow uniform. She is dribbling the ball with her right hand and looking to pass. The player is wearing a white headband and white shoes. The court is made of wood and has a green border.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her right arm extended. She is wearing a headband and her hair is short.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her left arm extended. She has short dark hair.,asian,female
The photo shows a female basketball player in a yellow uniform. She is standing on the court with her right arm extended. She has short black hair and is wearing a headband.,asian,female
The photo shows a female basketball player in a yellow uniform. She is looking to her right with her right arm extended. She is wearing a headband and her hair is short.,asian,female
The photo shows a young woman in a white and green basketball uniform. She is standing with her left hand on her hip and her right hand spinning a basketball on her finger. She is looking at the camera with a determined expression.,asian,female
The photo shows a young woman in a white and green basketball uniform. She is spinning a basketball on her finger. She has long black hair.,asian,female
