text,race,gender
"The image shows a basketball player on the court during a game. She is wearing a white jersey with ""Liberty"" and the number 21 printed on it, along with branded logos. Her arms are slightly raised, palms open, suggesting she might be communicating with teammates or officials. The background is filled with an audience seated in a dimly lit stadium, focusing intently on the game, which creates an electrifying and intense atmosphere.",asian,female
"In this dynamic image, a woman is captured mid-action on the basketball court. Her jersey, reading ""Liberty,"" is matched with white shorts, part of her team uniform. Her expression indicates concentration and focus as she engages in the game. The basketball is partially visible to her right, suggesting active play. Behind her, the spectators are blurred but visible, indicating their engagement with the unfolding event.",asian,female
"The photograph captures a moment from a live basketball game where a player, identifiable by her number 21 on the ""Liberty"" jersey, is paused during the action. Her stance, with both hands up and fingers splayed, suggests she's poised for defense or signaling to others on the court. The audience in the background, though indistinct, adds to the vibrant energy typical of a competitive sports event.",asian,female
"In this scene from a basketball match, a player stands front and center, clad in her ""Liberty"" team uniform, numbered 2 Her posture, with both hands up, conveys a readiness or communicative gesture important in team sports. The vividness of the scene is enhanced by the presence of spectators, their figures blending into the dim background and emphasizing the player's sharp focus. The visible basketball hints at the ongoing intensity of the game.",asian,female
"In the foreground of the image, a basketball player is shown mid-action on the court. She is wearing a white jersey with the word ""LIBERTY"" and the number 21 printed on the front, indicating she plays for the New York Liberty. Her expression is calm and focused, and her hands are raised, possibly in a defensive stance or communicating with teammates. The background reveals a blurred crowd of spectators, suggesting a lively game atmosphere. The Wilson basketball in motion hints at the ongoing action, adding a dynamic element to the scene.",asian,female
"This image captures a moment during a basketball game, featuring a player from the New York Liberty. She is clad in a white uniform with green accents, and the number 21 is prominently displayed. Her posture, with hands raised and fingers spread, suggests she is ready to defend or ask for the ball. The arena is filled with fans, whose faces are somewhat obscured in the background due to the focus on the player. The presence of a basketball in the foreground adds an element of motion, emphasizing the game's intensity.",asian,female
"The photo depicts a basketball player from the New York Liberty team, immediately recognizable by her white jersey adorned with the team name and number 2 Her confident stance, with hands raised, suggests she is either orchestrating a play or ready to block. Her demeanor is serious and focused, typical of an athlete engaged in a competitive match. In the backdrop, the muted blur of an audience spans the seating area, hinting at the presence of a supportive crowd. A basketball is visible, captured in mid-air, emphasizing the action-packed nature of the scene.",asian,female
"In this dynamic image, we see a female basketball player on court, representing the New York Liberty as indicated by her jersey, which features ""LIBERTY"" and the number 2 Her stance is open, with hands elevated, capturing her mid-movement during the game. The background softly showcases an attentive audience, their figures slightly out of focus to highlight the player as the central figure. The snapshot also includes a basketball in proximity to her, suggesting that she is engaged in receiving or passing the ball, contributing to the photograph's sense of immediacy and excitement.",asian,female
"The image features a basketball player on the court, wearing a white jersey with the word ""LIBERTY"" and the number ""21"" printed on it. The jersey also displays logos for Nike, HSS, and Webull. The player has their arms raised and appears to be in motion. The background reveals a stadium with spectators watching the game, some of whom are wearing masks.",asian,female
"In this photo, a basketball player is captured mid-action during a game. Dressed in a white uniform with green and black accents, the jersey highlights the team name ""LIBERTY"" and the number ""2"" The player raises both hands, possibly in a defensive stance or signaling a play. Behind them lies a blurred crowd seated in the stands, attentively following the game's progress.",asian,female
"This image depicts an athlete from a basketball game, donned in a white and green-tinged uniform. The text ""LIBERTY"" and the number ""21"" stand out on the player's jersey, adorned with various logos. With both hands held up, the player seems focused amidst the gameplay. The setting captures a packed arena, with onlookers filling the seats in the background, observing the live action.",asian,female
