text,race,gender
"woman nurse with back pain holding clipboard with stethoscope, in the style of photojournalism, matt groening, cory arcangel, simon birch, 21st century, goosepunk, associated press photo --ar 75:112",asian,female
"a nurse with pain standing with her stethoscope, in the style of irony and humor, photo taken with provia, petrina hicks, joe madureira --ar 75:112",asian,female
"female nurse in blue scrubs holding a clip case and clip board, in the style of shaky camera work, comic book-influenced, creative commons attribution, dinopunk, twisted branches, bronzepunk, associated press photo --ar 75:112",asian,female
"a female medical professional holds a clipboard full of notes, in the style of dramatic poses, new american color photography, creative commons attribution, bronze and azure, dc comics, webcam photography, auto body works --ar 75:112",asian,female
"an orthopedic nurse standing with back pain stock photo, in the style of expressive body language, webcam photography, relatable personality, captured essence of the moment, comic book-like, mike dargas, light blue and dark amber --ar 75:112",asian,female
"pain management nurse practitioner, in the style of shaky camera work, dignified poses, reductionist form, working class subjects, duckcore, manapunk, naturalistic poses --ar 75:112",asian,female
"your doctor may have misdiagnosed your back pain, or you may need a pain clinic, in the style of self-portraits, expressive body language, webcam photography, light blue and bronze, mommy's on-the-phonecore, dc comics, working class subjects --ar 75:112",asian,female
"back problem at work or at home, in the style of medical themes, photojournalism, bold colorism, bronze and blue, twisted sense of humor, associated press photo, womancore --ar 75:112",asian,female
"woman and stethoscope in a scrubs holding a clip board to note pain, in the style of shaky camera work, dc comics, photo taken with provia, nonrepresentational, associated press photo, naturalistic poses, charly amani --ar 75:112",asian,female
"female nurse with bad back, in the style of documentarian, nonrepresentational, indigo and brown, photobash, dinopunk, associated press photo, comiccore --ar 75:112",asian,female
"female nurse standing up facing down holding clipboard, in the style of dinopunk, photojournalism, photo taken with provia, nonrepresentational, george perez, webcam photography, emotive body language --ar 75:112",asian,female
"female patient w/back pain holding a clipboard in front of white backdrop, in the style of comic book-influenced, webcam photography, dark brown and blue, associated press photo, working class subjects, photo taken with nikon d750, nonrepresentational --ar 75:112",asian,female
"a female nurse with her back hurting and a clipboard, in the style of expressive body language, webcam photography, george perez, foreshortening techniques, twisted branches, associated press photo, sky-blue and bronze --ar 75:112",asian,female
"a doctor in blue scrubs holding stethoscope and clipboard, in the style of unconventional poses, mommy's on-the-phonecore, pentax 645n, candid photojournalism, dc comics, associated press photo, naturalistic poses --ar 75:112",asian,female
"a female nurse in scrubs holding a clip board and clipboard, in the style of shaky camera work, dinopunk, photo taken with provia, dc comics, nonrepresentational, associated press photo, pensive poses --ar 75:112",asian,female
"a female nurse with a white clipboard and white background, in the style of candid photojournalism, george perez, webcam photography, emotive body language, twisted branches, dinopunk, back button focus --ar 75:112",asian,female
"female asian nurse holding a folder, in the style of light white and purple, exaggerated facial features, chinapunk, english major, petcore, he jiaying, unilalianism --ar 75:112",asian,female
"hospital nurse looking for job, in the style of chinese cultural themes, violet and silver, poetcore, smilecore, piles/stacks, honest portrayal, divisionist --ar 75:112",asian,female
"a female nurse with a green hat standing with a white clipboard and a rudimentary laptop, in the style of qian xuan, purple, stereotype photography, chinapunk, realist: lifelike accuracy, glorious, soft-edged --ar 75:112",asian,female
"a woman nurse in uniform holds a briefcase of papers, in the style of chinapunk, purple, happycore, shot on 70mm, oshare kei, realist naturalistic form, language-based --ar 75:112",asian,female
"an asian female nurse is holding a folder, in the style of light purple and white, exaggerated facial features, xu beihong, anglocore, unilalianism, happycore, uniformly staged images --ar 75:112",asian,female
"female nurse with a colorful medical journal, in the style of traditional chinese, white and purple, iso 200, subtle chromatism, anglocore, gongbi, petcore --ar 75:112",asian,female
"a nurse with a folder, holding a folder of information, in the style of chinapunk, white and purple, schlieren photography, oshare kei, reductionist form, high detail, detailed facial features --ar 75:112",asian,female
"a nurse holding a binders, in the style of chinapunk, light white and purple, scumbling, exacting precision, oshare kei, captivating, high definition --ar 75:112",asian,female
"a smiling asian female nurse holding a book on the white background, in the style of dark white and light purple, beijing east village, schlieren photography, hd mod, edward henry potthast, working class subjects, harmonious coloration --ar 75:112",asian,female
"female nurse smiling with folder and clipboard, in the style of chinapunk, white and purple, tenebrism mastery, stereotype photography --ar 75:112",asian,female
"the female nurse wearing a white uniform and holding a folder on a white background, in the style of beijing east village, purple, schlieren photography, creative commons attribution, anglocore, exaggerated facial features, captivating --ar 75:112",asian,female
"a medical student in white sailor cap posing for a picture, in the style of violet, traditional chinese, #myportfolio, womancore, iso 200, divisionist, hd --ar 75:112",asian,female
"an asian nurse with a clipboard, in the style of light purple and white, hd mod, samyang af 14mm f/2.8 rf, academic, exaggerated facial features, артур скижали-вейс, lively and energetic --ar 75:112",asian,female
"an asian nurse in uniform and holding a folder, in the style of light white and purple, exaggerated facial features, chinapunk, captivating, poetcore, soft-edged, womancore --ar 75:112",asian,female
"asian nurse is holding a clipboard, in the style of dark white and light purple, exaggerated facial features, samyang af 14mm f/2.8 rf, photo-realistic hyperbole, happycore, qing dynasty, representational --ar 75:112",asian,female
"asian women nurse holding a yellow folder, in the style of light purple and white, qiu shengxian, exaggerated facial features, hikecore, aurorapunk, oshare kei, academic precision --ar 75:112",asian,female
"asia female nurse isolated on white stock photo, in the style of uhd image, cottagepunk, manapunk, solid and structured --ar 75:112",asian,female
"asian nurse smiling and holding a stethoscope, in the style of light white and white, ren hang, high quality, grandparentcore, pure color, hyperreal --ar 75:112",asian,female
"a nurse wearing clean holding a stethoscope, in the style of chinapunk, high quality, pure color, light white and light silver, zeiss batis 18mm f/2.8 --ar 75:112",asian,female
"a nurse with a stethoscope holding up her face, in the style of light white, gongbi, chinapunk, photo-realistic, happycore, whitcomb-girls, white background --ar 75:112",asian,female
"a nursing woman in white uniform with a stethoscope, in the style of oshare kei, white background --ar 75:112",asian,female
