text,race,gender
"a smiling woman is sitting at her desk at an office, in the style of li shuxing, wealthy portraiture, elegant clothing, light silver and light gold, nul group --ar 16:9",asian,female
"a business office with a young woman sitting at the desk, in the style of russell dongjun lu, light silver and light gold, dignified poses, smilecore, yeong-hao han, flatness, nul group --ar 16:9",asian,female
"business woman sitting at the desk in office, in the style of gongbi, light silver and light brown, northern and southern dynasties, smilecore, ue5, award-winning, hard-edged lines --ar 16:9",asian,female
"young asian woman sitting before computer and laptop in an office, in the style of uniformly staged images, light gray and light gold, larme kei, western zhou dynasty, commission for, elegant clothing, photo taken with provia --ar 16:9",asian,female
"asian asian business woman sitting and working in office, in the style of russell dongjun lu, light silver and light bronze, li shuxing, soft-edged, neo-academism, smilecore, qian xuan --ar 16:9",asian,female
"a young woman with a smile sitting at the desk in a business meeting, in the style of xiaofei yue, light gray and light gold, nul group, yeong-hao han, elegant clothing, soft-edged, award-winning --ar 16:9",asian,female
"female asian business woman sitting by her desk and looks at her laptop, in the style of gongbi, light silver and light brown, samyang af 14mm f/2.8 rf, elegant clothing, photo-realistic hyperbole, northern and southern dynasties, light white and light gray --ar 16:9",asian,female
"woman using laptop with smile in office, in the style of shang dynasty, elegant clothing, light silver and light brown, soft-edged, gongbi, ocean academia, nul group --ar 16:9",asian,female
"young professional asian woman sitting at a table, in the style of light gray and light brown, machine-like precision, nul group, gongbi, youthful energy --ar 16:9",asian,female
"a beautiful woman sitting in an office with a laptop, in the style of dao trong le, light gray and light brown, uniformly staged images, he jiaying, neo-academism, website, xu bing --ar 16:9",asian,female
"young asian woman sitting at a desk in a cafeteria fa, 2015 photo 2, in the style of wealthy portraiture, gongbi --ar 16:9",asian,female
"business woman standing at desk holding laptop, in the style of he jiaying, light silver and light brown, xiaofei yue, strong lines, soft-edged, light brown and white, smilecore --ar 16:9",asian,female
"beautiful smiling asian smiling business woman in white suit sitting at table and smiling at laptop, in the style of samyang af 14mm f/2.8 rf, dark beige and gray --ar 16:9",asian,female
"asian women smiling in a office with a laptop, in the style of he jiaying, light silver and light brown, grandeur of scale, russell dongjun lu, nul group, uniformly staged images, soft-edged --ar 16:9",asian,female
"asian woman sitting in an office with laptop computer, in the style of light gray and light brown, neo-academism, chinapunk, machine-like precision, elegant clothing, samyang af 14mm f/2.8 rf, non-representational --ar 16:9",asian,female
"woman sitting at the desk with a laptop, in the style of yeong-hao han, light silver and light gold, smilecore, elegant clothing, russell dongjun lu, nul group, ocean academia --ar 16:9",asian,female
"young asian woman standing in the office asian businesswoman stock photo, in the style of dark beige and white, uhd image, salon kei, science academia, website, tondo, villagecore --ar 128:85",asian,female
"asian lady standing at the desk in office stock photo, in the style of villagecore, dark white and light beige, science academia, polished concrete, soft --ar 128:85",asian,female
"young asian business woman posing in front of office stock, in the style of dark white and light beige, organic, cabincore, 3840x2160, lovely, tondo, collaborative --ar 128:85",asian,female
