text,race,gender
"asian woman medical doctor female doctor isolated on white background stock photo 8782, in the style of uhd image, realistic --ar 25:32",asian,female
"young doctor standing with a stethoscope stock photo 62943966, in the style of traditional vietnamese, feminine sensibilities, opacity and translucency, manjit bawa, beautiful women, qiu shengxian, group f/64 --ar 25:32",asian,female
"doctor asian elegant business woman in white coat stock photo 94538, in the style of transparency and opacity, uhd image --ar 25:32",asian,female
"a young female doctor standing and facing to the camera, in the style of light white and light silver, gongbi, soft-edged, villagecore, dark brown, sleek --ar 25:32",asian,female
"doctor female isolated stock photo 676424857, in the style of qiu shengxian, manjit bawa, light white and light silver, kathrin longhurst, samyang 14mm f/2.8 if ed umc aspherical, figura serpentinata, 3840x2160 --ar 25:32",asian,female
"asian female medical doctor isolated, in the style of 32k uhd, figurative work, the stars art group (xing xing), youthful, photo, anglocore, tachist --ar 25:32",asian,female
"portrait of smiling female doctor with arms crossed stock photo 77542446, in the style of traditional vietnamese, transparency and opacity, uhd image, serge marshennikov, group f/64, feminine body, chen zhen --ar 25:32",asian,female
"beautiful female doctor isolated over white background, in the style of beijing east village, oshare kei, uhd image, feminine sensibilities, representational, photo-realistic, cobra --ar 25:32",asian,female
"beautiful doctor wearing white stethoscope stock photo 285337, in the style of beijing east village, transparent/translucent medium, uhd image, white background, beautiful women, group f/64, dansaekhwa --ar 25:32",asian,female
"young Asian girl doctor standing with her arms crossed on isolated white background, in the style of 32k uhd, frank xavier leyendecker, petcore, tachist, beautiful women, dark white, traditional vietnamese --ar 25:32",asian,female
"nurse asian female doctor against the white background, in the style of 32k uhd, white --ar 25:32",asian,female
"woman doctor with white coat smiling stock photo 14334289, in the style of qiu shengxian, transparency and opacity, uhd image, manjit bawa, traditional vietnamese, group f/64, артур скижали-вейс --ar 25:32",asian,female
"asian female doctor is looking at the camera, in the style of dark white and light silver, 32k uhd, subtle chromatism, group f/64, gongbi, youthful, photo --ar 25:32",asian,female
